rest,resource,http,base,path,method,entity
AlertaAdicionalRest,alertaadicional,PUT,/spring/alertas/alertaadicional,/validar/{accion},validar,AlertaAdicional
AlertaAdicionalRest,alertaadicional,GET,/spring/alertas/alertaadicional,/obtenerporid,obtenerPorId,AlertaAdicional
AlertaAdicionalRest,alertaadicional,POST,/spring/alertas/alertaadicional,/registrar,registrar,AlertaAdicional
AlertaAdicionalRest,alertaadicional,PUT,/spring/alertas/alertaadicional,/actualizar,actualizar,AlertaAdicional
AlertaAdicionalRest,alertaadicional,PUT,/spring/alertas/alertaadicional,/anular,anular,AlertaAdicional
AlertaAdicionalRest,alertaadicional,DELETE,/spring/alertas/alertaadicional,/eliminar,eliminar,AlertaAdicional
AlertaDestinoRest,alertadestino,PUT,/spring/alertas/alertadestino,/validar/{accion},validar,AlertaDestino
AlertaDestinoRest,alertadestino,GET,/spring/alertas/alertadestino,/obtenerporid,obtenerPorId,AlertaDestino
AlertaDestinoRest,alertadestino,POST,/spring/alertas/alertadestino,/registrar,registrar,AlertaDestino
AlertaDestinoRest,alertadestino,PUT,/spring/alertas/alertadestino,/actualizar,actualizar,AlertaDestino
AlertaDestinoRest,alertadestino,PUT,/spring/alertas/alertadestino,/anular,anular,AlertaDestino
AlertaDestinoRest,alertadestino,DELETE,/spring/alertas/alertadestino,/eliminar,eliminar,AlertaDestino
AlertaDetalleRest,alertadetalle,PUT,/spring/alertas/alertadetalle,/validar/{accion},validar,AlertaDetalle
AlertaDetalleRest,alertadetalle,GET,/spring/alertas/alertadetalle,/obtenerporid,obtenerPorId,AlertaDetalle
AlertaDetalleRest,alertadetalle,POST,/spring/alertas/alertadetalle,/registrar,registrar,AlertaDetalle
AlertaDetalleRest,alertadetalle,PUT,/spring/alertas/alertadetalle,/actualizar,actualizar,AlertaDetalle
AlertaDetalleRest,alertadetalle,PUT,/spring/alertas/alertadetalle,/anular,anular,AlertaDetalle
AlertaDetalleRest,alertadetalle,DELETE,/spring/alertas/alertadetalle,/eliminar,eliminar,AlertaDetalle
AlertaPlanRest,alertaplan,PUT,/spring/alertas/alertaplan,/validar/{accion},validar,AlertaPlan
AlertaPlanRest,alertaplan,GET,/spring/alertas/alertaplan,/obtenerporid,obtenerPorId,AlertaPlan
AlertaPlanRest,alertaplan,POST,/spring/alertas/alertaplan,/registrar,registrar,AlertaPlan
AlertaPlanRest,alertaplan,PUT,/spring/alertas/alertaplan,/actualizar,actualizar,AlertaPlan
AlertaPlanRest,alertaplan,PUT,/spring/alertas/alertaplan,/anular,anular,AlertaPlan
AlertaPlanRest,alertaplan,DELETE,/spring/alertas/alertaplan,/eliminar,eliminar,AlertaPlan
AlertaRest,alerta,PUT,/spring/alertas/alerta,/validar/{accion},validar,Alerta
AlertaRest,alerta,GET,/spring/alertas/alerta,/obtenerporid,obtenerPorId,Alerta
AlertaRest,alerta,POST,/spring/alertas/alerta,/registrar,registrar,Alerta
AlertaRest,alerta,PUT,/spring/alertas/alerta,/actualizar,actualizar,Alerta
